ADMIN_CODE,LAND_USE_EN,LAND_USE_FR,POP_2015
HT0913-03,Dry Coastal Maize and Charcoal,Littoral sec maïs et charbon,24024
HT0342-01,Central Plateau Maize and Tubers,Plateau central maïs et tubercules,7763
HT0911-06,North Tubers and Horticulture,Nord tubercules et horticulture,44623
HT0922-01,North Tubers and Horticulture,Nord tubercules et horticulture,10524
HT0432-01,North Tubers and Horticulture,Nord tubercules et horticulture,4698
HT0934-05,Dry Coastal Maize and Charcoal,Littoral sec maïs et charbon,18290
HT0372-08,North Tubers and Horticulture,Nord tubercules et horticulture,8714
HT0613-01,Central Plateau Maize and Tubers,Plateau central maïs et tubercules,33602
HT0911-04,Dry Coastal Maize and Charcoal,Littoral sec maïs et charbon,33477
HT0433-02,North Tubers and Horticulture,Nord tubercules et horticulture,8853
HT0912-01,North Tubers and Horticulture,Nord tubercules et horticulture,11924
HT0934-04,Dry Coastal Maize and Charcoal,Littoral sec maïs et charbon,8411
HT0361-04,North Tubers and Horticulture,Nord tubercules et horticulture,10425
HT0142-01,Western Banana Plains of Arcahaie,Plaine ouest bananière d'Arcahaie,15473
HT0313-02,North Tubers and Horticulture,Nord tubercules et horticulture,16150
HT0411-04,North Tubers and Horticulture,Nord tubercules et horticulture,2759
HT0932-04,Dry Coastal Maize and Charcoal,Littoral sec maïs et charbon,7184
HT0131-02,"South Beans, Bananas, and Petty Trade","Sud haricot, banane et petit commerce",64197
HT0361-06,North Tubers and Horticulture,Nord tubercules et horticulture,15304
HT0931-02,Dry Coastal Maize and Charcoal,Littoral sec maïs et charbon,7394
HT0431-01,North Tubers and Horticulture,Nord tubercules et horticulture,6524
HT0342-05,Central Plateau Maize and Tubers,Plateau central maïs et tubercules,4831
HT0133-02,"South Beans, Bananas, and Petty Trade","Sud haricot, banane et petit commerce",11483
HT0541-01,Rice Plains of the Artibonite,Plaine rizicole de l'Artibonite,21507
HT0511-05,Central Plateau Maize and Tubers,Plateau central maïs et tubercules,27183
HT0911-05,Dry Coastal Maize and Charcoal,Littoral sec maïs et charbon,56193
HT0371-05,North Tubers and Horticulture,Nord tubercules et horticulture,7259
HT0622-03,Central Plateau Maize and Tubers,Plateau central maïs et tubercules,7115
HT0121-01,"South Beans, Bananas, and Petty Trade","Sud haricot, banane et petit commerce",29472
HT0913-02,Dry Coastal Maize and Charcoal,Littoral sec maïs et charbon,25903
HT0152-05,Dry Coastal Maize and Charcoal,Littoral sec maïs et charbon,2990
HT0933-01,Dry Coastal Maize and Charcoal,Littoral sec maïs et charbon,14516
HT0621-03,Central Plateau Maize and Tubers,Plateau central maïs et tubercules,24586
HT0322-04,North Tubers and Horticulture,Nord tubercules et horticulture,1805
HT0121-07,"South Beans, Bananas, and Petty Trade","Sud haricot, banane et petit commerce",6854
HT0413-01,North Tubers and Horticulture,Nord tubercules et horticulture,4085
HT0351-05,North Tubers and Horticulture,Nord tubercules et horticulture,3545
HT0432-02,Central Plateau Maize and Tubers,Plateau central maïs et tubercules,3605
HT0122-06,"South Beans, Bananas, and Petty Trade","Sud haricot, banane et petit commerce",8095
HT0113-08,"South Beans, Bananas, and Petty Trade","Sud haricot, banane et petit commerce",9134
HT0552-03,Central Plateau Maize and Tubers,Plateau central maïs et tubercules,10560
HT0432-04,Central Plateau Maize and Tubers,Plateau central maïs et tubercules,2947
HT0623-02,Central Plateau Maize and Tubers,Plateau central maïs et tubercules,18710
HT0431-02,North Tubers and Horticulture,Nord tubercules et horticulture,17163
HT0622-01,Central Plateau Maize and Tubers,Plateau central maïs et tubercules,15307
HT0631-02,Central Plateau Maize and Tubers,Plateau central maïs et tubercules,14598
HT0151-06,Dry Coastal Maize and Charcoal,Littoral sec maïs et charbon,6310
HT0621-04,Central Plateau Maize and Tubers,Plateau central maïs et tubercules,18790
HT0633-02,Central Plateau Maize and Tubers,Plateau central maïs et tubercules,25754
HT0131-09,"South Beans, Bananas, and Petty Trade","Sud haricot, banane et petit commerce",12898
HT0342-02,Central Plateau Maize and Tubers,Plateau central maïs et tubercules,8006
HT0623-01,Central Plateau Maize and Tubers,Plateau central maïs et tubercules,13482
HT0814-01,"Southwestern Coast Maize, Manioc, and Bush Products","Littoral sud-ouest maïs, manioc et cueillette",5207
HT0113-01,"South Beans, Bananas, and Petty Trade","Sud haricot, banane et petit commerce",5292
HT0121-03,"South Beans, Bananas, and Petty Trade","Sud haricot, banane et petit commerce",24535
HT0351-04,North Tubers and Horticulture,Nord tubercules et horticulture,3158
HT0113-02,"South Beans, Bananas, and Petty Trade","Sud haricot, banane et petit commerce",18869
HT0311-01,North Tubers and Horticulture,Nord tubercules et horticulture,40219
HT0812-03,"Southwestern Coast Maize, Manioc, and Bush Products","Littoral sud-ouest maïs, manioc et cueillette",12116
HT0342-04,Central Plateau Maize and Tubers,Plateau central maïs et tubercules,6231
HT0113-11,"South Beans, Bananas, and Petty Trade","Sud haricot, banane et petit commerce",141920
HT0134-01,"South Beans, Bananas, and Petty Trade","Sud haricot, banane et petit commerce",13295
HT0833-02,"South Beans, Bananas, and Petty Trade","Sud haricot, banane et petit commerce",2007
HT0142-03,Western Banana Plains of Arcahaie,Plaine ouest bananière d'Arcahaie,17825
HT0372-02,North Tubers and Horticulture,Nord tubercules et horticulture,8063
HT0113-07,"South Beans, Bananas, and Petty Trade","Sud haricot, banane et petit commerce",8480
HT0511-03,Central Plateau Maize and Tubers,Plateau central maïs et tubercules,52862
HT0551-01,Central Plateau Maize and Tubers,Plateau central maïs et tubercules,15388
HT0512-03,Central Plateau Maize and Tubers,Plateau central maïs et tubercules,12240
HT0371-04,North Tubers and Horticulture,Nord tubercules et horticulture,11201
HT0343-02,Central Plateau Maize and Tubers,Plateau central maïs et tubercules,8987
HT0343-03,Central Plateau Maize and Tubers,Plateau central maïs et tubercules,6711
HT0443-01,Central Plateau Maize and Tubers,Plateau central maïs et tubercules,13568
HT0313-01,North Tubers and Horticulture,Nord tubercules et horticulture,22701
HT0434-02,North Tubers and Horticulture,Nord tubercules et horticulture,3946
HT0433-01,North Tubers and Horticulture,Nord tubercules et horticulture,21391
HT0523-01,Dry Coastal Maize and Charcoal,Littoral sec maïs et charbon,26591
HT0411-01,North Tubers and Horticulture,Nord tubercules et horticulture,13507
HT0322-02,North Tubers and Horticulture,Nord tubercules et horticulture,11303
HT0312-02,North Tubers and Horticulture,Nord tubercules et horticulture,10714
HT0411-02,North Tubers and Horticulture,Nord tubercules et horticulture,9924
HT0431-03,North Tubers and Horticulture,Nord tubercules et horticulture,23491
HT0321-03,North Tubers and Horticulture,Nord tubercules et horticulture,11213
HT0321-06,North Tubers and Horticulture,Nord tubercules et horticulture,8678
HT0511-04,Central Plateau Maize and Tubers,Plateau central maïs et tubercules,22608
HT0511-02,Dry Coastal Maize and Charcoal,Littoral sec maïs et charbon,92111
HT0421-01,North Tubers and Horticulture,Nord tubercules et horticulture,38393
HT0552-02,Central Plateau Maize and Tubers,Plateau central maïs et tubercules,12394
HT0331-05,Central Plateau Maize and Tubers,Plateau central maïs et tubercules,7766
HT0432-03,Central Plateau Maize and Tubers,Plateau central maïs et tubercules,4273
HT0411-03,North Tubers and Horticulture,Nord tubercules et horticulture,8510
HT0331-03,Central Plateau Maize and Tubers,Plateau central maïs et tubercules,6258
HT0331-04,Central Plateau Maize and Tubers,Plateau central maïs et tubercules,5423
HT0422-01,North Tubers and Horticulture,Nord tubercules et horticulture,13780
HT0421-02,North Tubers and Horticulture,Nord tubercules et horticulture,14762
HT0421-03,North Tubers and Horticulture,Nord tubercules et horticulture,25826
HT0421-04,North Tubers and Horticulture,Nord tubercules et horticulture,12956
HT0432-05,Central Plateau Maize and Tubers,Plateau central maïs et tubercules,6257
